incident_id,timestamp,machine_id,operator_id,incident_type,severity,description,location,resolved,resolution,created_at
INC0001,2026-09-14 18:45:47,DOZ015,OP040,Overheating,Critical,Overheating event logged during excavation operations at Site Delta - Highway Interchange.,Site Delta - Highway Interchange,False,,2026-09-14 18:45:47
INC0002,2026-08-27 20:45:47,WHE038,OP046,Proximity Hazard,Low,Proximity Hazard event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,False,,2026-08-27 20:45:47
INC0003,2026-09-09 07:45:47,DUM041,OP008,Proximity Hazard,High,Proximity Hazard event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-09-09 07:45:47
INC0004,2026-09-22 18:45:47,DUM047,OP051,Mechanical Anomaly,Critical,Mechanical Anomaly event logged during excavation operations at Site Delta - Highway Interchange.,Site Delta - Highway Interchange,True,Operator briefed and cleared for shift resumption.,2026-09-22 18:45:47
INC0005,2026-08-13 19:45:47,DOZ033,OP098,Overheating,Critical,Overheating event logged during excavation operations at Site Beta - East Trenching Zone.,Site Beta - East Trenching Zone,False,,2026-08-13 19:45:47
INC0006,2026-08-29 13:45:47,WHE050,OP053,Mechanical Anomaly,High,Mechanical Anomaly event logged during excavation operations at Site Alpha - Sector 1 Quarry.,Site Alpha - Sector 1 Quarry,True,Operator briefed and cleared for shift resumption.,2026-08-29 13:45:47
INC0007,2026-08-30 14:45:47,GRA010,OP076,Mechanical Anomaly,Medium,Mechanical Anomaly event logged during excavation operations at Site Beta - East Trenching Zone.,Site Beta - East Trenching Zone,True,Operator briefed and cleared for shift resumption.,2026-08-30 14:45:47
INC0008,2026-09-12 19:45:47,DUM035,OP085,Mechanical Anomaly,Medium,Mechanical Anomaly event logged during excavation operations at Site Beta - North Overpass.,Site Beta - North Overpass,True,Operator briefed and cleared for shift resumption.,2026-09-12 19:45:47
INC0009,2026-09-15 19:45:47,GRA046,OP069,Proximity Hazard,Low,Proximity Hazard event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-09-15 19:45:47
INC0010,2026-09-10 10:45:47,GRA010,OP032,Proximity Hazard,High,Proximity Hazard event logged during excavation operations at Site Beta - East Trenching Zone.,Site Beta - East Trenching Zone,True,Operator briefed and cleared for shift resumption.,2026-09-10 10:45:47
