machine_id,machine_type,machine_model,machine_age_years,engine_hours,maintenance_age_days,fuel_capacity,current_fuel_level,hydraulic_pressure,engine_temperature,engine_rpm,vibration_level,coolant_temperature,oil_pressure,battery_voltage,load_weight,operating_hours,location,status
EXC001,Excavator,CAT 336 Heavy Duty,2.4,2150.0,28,450.0,78.5,282.0,88.5,1850.0,1.75,85.0,43.5,24.8,14.5,8.5,Site Alpha - Sector 4 Foundation,Operating
WHE002,Wheel Loader,CAT 980M Quarry,1.1,809.7,119,320.0,78.9,269.2,82.7,1820.0,1.54,79.2,43.2,24.6,15.9,8.0,Site Alpha - Sector 1 Quarry,Operating
DOZ003,Dozer,CAT D6 XE Electric,2.4,2317.1,26,320.0,63.8,281.0,86.7,1820.0,1.66,83.2,42.9,24.6,12.7,8.0,Site Alpha - Sector 4 Foundation,Operating
GRA004,Grader,CAT 140 Motor Grader,4.9,3638.9,77,320.0,61.3,292.8,84.8,1820.0,1.93,81.3,43.0,24.6,8.0,8.0,Site Beta - North Overpass,Idle
DUM005,Dump Truck,CAT 745 Extreme Haul,10.8,7582.7,16,450.0,42.6,285.0,91.2,1820.0,2.69,87.7,38.4,24.6,20.2,8.0,Site Beta - North Overpass,Operating
COM006,Compactor,CAT CS56B Soil,4.5,4601.8,91,320.0,33.5,288.2,89.2,1820.0,2.17,85.7,43.9,24.6,8.6,8.0,Site Beta - North Overpass,Operating
EXC007,Excavator,CAT 320 Next Gen,3.2,3519.2,30,450.0,96.0,278.3,86.4,1820.0,2.01,82.9,43.6,24.6,14.6,8.0,Site Alpha - Sector 4 Foundation,Operating
WHE008,Wheel Loader,CAT 966M,6.4,6642.0,22,320.0,68.1,291.3,89.0,1820.0,2.6,85.5,39.6,24.6,20.4,8.0,Site Alpha - Sector 1 Quarry,Operating
DOZ009,Dozer,CAT D8T Heavy,2.8,2454.0,91,320.0,51.7,281.6,85.3,1820.0,1.81,81.8,45.1,24.6,20.4,8.0,Site Beta - East Trenching Zone,Operating
GRA010,Grader,CAT 160M AWD,3.4,2696.8,59,320.0,34.8,278.6,86.4,1820.0,1.95,82.9,43.7,24.6,9.2,8.0,Site Beta - East Trenching Zone,Idle
DUM011,Dump Truck,CAT 745 Extreme Haul,0.6,535.1,20,450.0,46.2,275.8,86.6,1820.0,1.51,83.1,46.5,24.6,12.0,8.0,Site Delta - Highway Interchange,Idle
COM012,Compactor,CAT CB68B Asphalt,1.6,1269.5,29,320.0,95.0,277.8,84.7,1820.0,1.76,81.2,42.9,24.6,11.6,8.0,Site Alpha - Sector 4 Foundation,Operating
EXC013,Excavator,CAT 320 Next Gen,3.2,3497.4,67,450.0,97.4,283.1,87.3,1820.0,1.88,83.8,41.7,24.6,21.2,8.0,Site Beta - East Trenching Zone,Operating
WHE014,Wheel Loader,CAT 950M High Lift,3.6,3395.1,113,320.0,44.7,289.6,86.4,1820.0,1.87,82.9,43.5,24.6,16.4,8.0,Site Alpha - Sector 1 Quarry,Operating
DOZ015,Dozer,CAT D10 Dozer,2.7,2171.1,39,320.0,45.3,277.0,87.5,1820.0,1.94,84.0,43.8,24.6,15.5,8.0,Site Delta - Highway Interchange,Operating
GRA016,Grader,CAT 140 Motor Grader,3.2,2982.5,102,320.0,33.0,265.9,84.9,1820.0,1.55,81.4,42.9,24.6,8.5,8.0,Site Delta - Highway Interchange,Operating
DUM017,Dump Truck,CAT 745 Extreme Haul,1.7,1823.5,15,450.0,79.2,274.2,84.0,1820.0,1.68,80.5,42.3,24.6,9.1,8.0,Site Alpha - Sector 1 Quarry,Operating
COM018,Compactor,CAT CS56B Soil,1.2,1168.0,73,320.0,75.0,286.9,86.4,1820.0,1.65,82.9,44.5,24.6,20.1,8.0,Site Gamma - River Basin Basin Prep,Operating
EXC019,Excavator,CAT 336 Heavy Duty,4.5,4088.3,84,450.0,86.9,285.7,87.8,1820.0,2.18,84.3,42.8,24.6,17.5,8.0,Site Gamma - River Basin Basin Prep,Operating
WHE020,Wheel Loader,CAT 980M Quarry,3.4,3403.7,11,320.0,30.1,278.8,86.2,1820.0,2.06,82.7,43.2,24.6,18.6,8.0,Site Alpha - Sector 4 Foundation,Operating
DOZ021,Dozer,CAT D6 XE Electric,1.4,1088.2,17,320.0,73.1,286.0,85.0,1820.0,1.7,81.5,42.5,24.6,18.9,8.0,Site Gamma - River Basin Basin Prep,Operating
GRA022,Grader,CAT 140 Motor Grader,0.8,803.5,78,320.0,81.3,276.8,84.2,1820.0,1.77,80.7,43.1,24.6,10.4,8.0,Site Alpha - Sector 4 Foundation,Operating
DUM023,Dump Truck,CAT 730 Articulated,4.9,5286.7,68,450.0,72.2,287.7,87.7,1820.0,2.03,84.2,39.9,24.6,21.6,8.0,Site Gamma - River Basin Basin Prep,Maintenance
COM024,Compactor,CAT CS56B Soil,10.9,10898.5,103,320.0,47.2,276.3,93.7,1820.0,2.55,90.2,39.8,24.6,14.6,8.0,Site Delta - Highway Interchange,Idle
EXC025,Excavator,CAT 320 Next Gen,9.2,6816.1,109,450.0,35.6,285.7,89.7,1820.0,2.67,86.2,38.3,24.6,17.2,8.0,Site Beta - North Overpass,Operating
