task_id,task_type,machine_id,operator_id,location,priority,scheduled_start,estimated_time_min,predicted_time_min,actual_time_min,load_cycles,distance,weather,operator_skill,machine_age,status
T0001,Earth Excavation,COM048,OP071,Site Delta - Highway Interchange,Medium,2026-07-25 13:27:47,60.0,71.4,71.8,22,3.25,Cloudy,Beginner,3.9,Completed
T0002,Material Loading,EXC019,OP078,Site Gamma - River Basin Basin Prep,Medium,2026-07-25 14:09:47,45.0,55.2,55.7,24,2.22,Sunny,Beginner,4.5,Completed
T0003,Compaction,GRA022,OP027,Site Alpha - Sector 4 Foundation,High,2026-07-25 14:51:47,50.0,56.4,49.8,21,2.94,Sunny,Beginner,0.8,Completed
T0004,Demolition,WHE032,OP033,Site Beta - East Trenching Zone,Low,2026-07-25 15:33:47,110.0,136.8,122.8,23,3.87,Rainy,Intermediate,0.7,Completed
T0005,Earth Excavation,DUM041,OP055,Site Alpha - Sector 4 Foundation,High,2026-07-25 16:15:47,60.0,57.6,58.2,18,3.54,Cloudy,Expert,3.2,Completed
T0006,Earth Excavation,EXC001,OP043,Site Alpha - Sector 4 Foundation,Medium,2026-07-25 16:57:47,60.0,79.9,84.6,20,3.77,Storm,Expert,2.4,Completed
T0007,Compaction,DUM017,OP021,Site Alpha - Sector 1 Quarry,Critical,2026-07-25 17:39:47,50.0,50.5,49.1,22,1.4,Sunny,Intermediate,1.7,Completed
T0008,Demolition,GRA046,OP055,Site Gamma - River Basin Basin Prep,Low,2026-07-25 18:21:47,110.0,90.9,88.5,11,1.45,Sunny,Expert,0.6,Completed
T0009,Earth Excavation,DUM005,OP089,Site Beta - North Overpass,Medium,2026-07-25 19:03:47,60.0,76.2,78.5,10,2.78,Windy,Intermediate,10.8,Completed
T0010,Demolition,DOZ003,OP048,Site Alpha - Sector 4 Foundation,Medium,2026-07-25 19:45:47,110.0,130.0,129.5,20,2.1,Sunny,Beginner,2.4,Completed
T0011,Grading,DOZ009,OP006,Site Beta - East Trenching Zone,High,2026-07-25 20:27:47,90.0,81.4,80.7,17,3.68,Cloudy,Expert,2.8,Completed
T0012,Material Loading,DOZ003,OP046,Site Alpha - Sector 4 Foundation,Medium,2026-07-25 21:09:47,45.0,43.8,41.8,17,4.16,Windy,Expert,2.4,Completed
T0013,Compaction,GRA016,OP086,Site Delta - Highway Interchange,Low,2026-07-25 21:51:47,50.0,56.6,58.0,19,0.58,Windy,Intermediate,3.2,Completed
T0014,Material Loading,WHE050,OP072,Site Alpha - Sector 1 Quarry,Critical,2026-07-25 22:33:47,45.0,50.5,53.8,29,2.51,Cloudy,Intermediate,5.4,Completed
T0015,Demolition,COM048,OP020,Site Delta - Highway Interchange,Medium,2026-07-25 23:15:47,110.0,102.2,96.6,17,4.09,Cloudy,Expert,3.9,Completed
T0016,Hauling,DUM011,OP023,Site Delta - Highway Interchange,Critical,2026-07-25 23:57:47,40.0,52.0,52.0,25,3.4,Windy,Beginner,0.6,Completed
T0017,Earth Excavation,COM012,OP095,Site Alpha - Sector 4 Foundation,High,2026-07-26 00:39:47,60.0,74.6,87.8,26,2.96,Windy,Beginner,1.6,Completed
T0018,Hauling,DOZ027,OP086,Site Gamma - River Basin Basin Prep,Medium,2026-07-26 01:21:47,40.0,39.3,47.9,10,3.96,Sunny,Intermediate,4.3,Completed
T0019,Material Loading,DUM011,OP090,Site Delta - Highway Interchange,Low,2026-07-26 02:03:47,45.0,41.0,40.7,12,3.03,Sunny,Expert,0.6,Completed
T0020,Grading,DOZ003,OP061,Site Alpha - Sector 4 Foundation,Medium,2026-07-26 02:45:47,90.0,86.3,94.2,21,2.99,Sunny,Intermediate,2.4,Completed
T0021,Trenching,COM030,OP045,Site Beta - East Trenching Zone,High,2026-07-26 03:27:47,75.0,97.3,99.7,17,2.16,Cloudy,Beginner,3.2,Completed
T0022,Hauling,DOZ015,OP029,Site Delta - Highway Interchange,Low,2026-07-26 04:09:47,40.0,56.4,55.6,21,0.83,Storm,Expert,2.7,Completed
T0023,Compaction,EXC013,OP052,Site Beta - East Trenching Zone,High,2026-07-26 04:51:47,50.0,53.7,54.5,21,1.49,Sunny,Intermediate,3.2,Completed
T0024,Material Loading,DUM005,OP099,Site Beta - North Overpass,High,2026-07-26 05:33:47,45.0,61.6,59.8,8,1.33,Sunny,Beginner,10.8,Completed
T0025,Material Loading,COM042,OP066,Site Alpha - Sector 1 Quarry,Critical,2026-07-26 06:15:47,45.0,44.8,46.2,9,3.15,Cloudy,Intermediate,0.7,Completed
T0026,Compaction,DUM035,OP043,Site Beta - North Overpass,Low,2026-07-26 06:57:47,50.0,45.4,39.6,15,3.07,Sunny,Expert,3.2,Completed
T0027,Earth Excavation,DUM017,OP023,Site Alpha - Sector 1 Quarry,High,2026-07-26 07:39:47,60.0,67.5,64.0,13,0.61,Sunny,Beginner,1.7,Completed
T0028,Earth Excavation,EXC007,OP077,Site Alpha - Sector 4 Foundation,Critical,2026-07-26 08:21:47,60.0,81.6,84.2,27,0.65,Storm,Expert,3.2,Completed
